"Asset ID","Asset No.",Date,Time(EDT),Speed(MPH),Heading,"Log Reason","Distance Traveled(Miles)",Lat,Lon,Zone,"Fuel Counter(Gallon)",Acceleration(Miles/Hour/Sec),"Status Mask",Address
321,"MB033 - 051073",2015-07-24,08:13:35,19,"South West West",Standard,0,42.429811,-71.0299817,Massachusetts,0.00,-15.66,8223,"312 Lynn St, Malden, MA 02148"
101,022051,2015-07-24,08:13:40,0,"North North West","Power On",0,42.0680122,-71.0451237,"Brockton High","17,025.36",,40991,"Angus Beaton Dr, Brockton, MA 02301"
101,022051,2015-07-24,08:13:53,3,"North North West","Motion Start",0,42.0680122,-71.0451237,"Brockton High","17,025.36",8.95,42015,"Angus Beaton Dr, Brockton, MA 02301"
47,022081,2015-07-24,08:13:55,7.2,"South West","Motion Start",0,42.0700803,-71.046424,Massachusetts,"19,167.80",33.55,42015,"711 Belmont St, Brockton, MA 02301"
93,022041,2015-07-24,08:13:56,8.2,"South West","Motion Start",0,42.0701747,-71.0462991,Massachusetts,"17,056.27",31.32,42015,"707 Belmont St, Brockton, MA 02301"
87,022027,2015-07-24,08:13:56,0,"North North West","Power On",0,42.067875,-71.0450765,"Brockton High","17,217.94",,40991,"Angus Beaton Dr, Brockton, MA 02301"
48,022062,2015-07-24,08:13:57,6.5,"South West","Motion Start",0,42.070271,-71.0461382,Massachusetts,"17,307.50",29.08,42015,"703 Belmont St, Brockton, MA 02301"
321,"MB033 - 051073",2015-07-24,08:14:03,31,"South West West",Standard,0.2,42.4285592,-71.033243,Massachusetts,0.00,2.24,8223,"240 Lynn St, Malden, MA 02148"
87,022027,2015-07-24,08:14:05,4.5,"North North West","Motion Start",0,42.0678888,-71.0450896,"Brockton High","17,217.94",24.61,42015,"Angus Beaton Dr, Brockton, MA 02301"
47,022081,2015-07-24,08:14:13,16.5,"South South East",Standard,0.1,42.0689283,-71.045467,"Brockton High","19,167.80",-15.66,40991,"Angus Beaton Dr, Brockton, MA 02301"
93,022041,2015-07-24,08:14:14,21,"South East",Standard,0.1,42.0691472,-71.0456889,"Brockton High","17,056.27",-8.95,40991,"Angus Beaton Dr, Brockton, MA 02301"
48,022062,2015-07-24,08:14:15,20.7,"South East",Standard,0.1,42.0694536,-71.0460358,"Brockton High","17,307.50",4.47,40991,"Angus Beaton Dr, Brockton, MA 02301"
321,"MB033 - 051073",2015-07-24,08:14:31,33.1,"South West West",Standard,0.5,42.4268114,-71.0378319,Massachusetts,0.00,-4.47,8223,"132 Lynn St, Malden, MA 02148"
93,022041,2015-07-24,08:14:32,16.5,"South South East",Standard,0.2,42.0680799,-71.045751,"Brockton High","17,056.27",,40991,"Angus Beaton Dr, Brockton, MA 02301"
47,022081,2015-07-24,08:14:32,12,"South East",Standard,0.2,42.0677798,-71.0455936,"Brockton High","19,167.80",-6.71,40991,"Angus Beaton Dr, Brockton, MA 02301"
48,022062,2015-07-24,08:14:33,14,"South South West",Standard,0.2,42.0684905,-71.045763,"Brockton High","17,307.50",,40991,"Angus Beaton Dr, Brockton, MA 02301"
101,022051,2015-07-24,08:14:38,13.2,"South West",Standard,0.1,42.0685376,-71.0457586,"Brockton High","17,025.36",6.71,40991,"Angus Beaton Dr, Brockton, MA 02301"
87,022027,2015-07-24,08:14:46,14.2,"South West",Standard,0.1,42.0684483,-71.0459524,"Brockton High","17,217.94",2.24,40991,"Angus Beaton Dr, Brockton, MA 02301"
321,"MB033 - 051073",2015-07-24,08:14:49,33.7,"South West",Standard,0.6,42.4247058,-71.0398865,Massachusetts,0.00,-8.95,8223,"60 Lynn St, Malden, MA 02148"
93,022041,2015-07-24,08:14:50,10.7,"North North West",Standard,0.3,42.0679704,-71.0451096,"Brockton High","17,056.27",2.24,40991,"Angus Beaton Dr, Brockton, MA 02301"
47,022081,2015-07-24,08:14:51,0,"North North West","Motion Stop",0.2,42.0682488,-71.0452191,"Brockton High","19,167.80",-13.42,42015,"Angus Beaton Dr, Brockton, MA 02301"
48,022062,2015-07-24,08:14:51,9.2,East,Standard,0.3,42.0677271,-71.0452832,"Brockton High","17,307.50",-2.24,40991,"Angus Beaton Dr, Brockton, MA 02301"
93,022041,2015-07-24,08:14:55,0,"North North West","Motion Stop",0.3,42.0681161,-71.0451651,"Brockton High","17,056.27",-24.61,42015,"Angus Beaton Dr, Brockton, MA 02301"
47,022081,2015-07-24,08:14:59,0,"North North West","Power Off",0.2,42.0682606,-71.0452215,"Brockton High","19,167.80",,32799,"Angus Beaton Dr, Brockton, MA 02301"
101,022051,2015-07-24,08:15:00,20.5,"South South East",Standard,0.2,42.0671804,-71.0457024,"Brockton High","17,025.36",6.71,40991,"Angus Beaton Dr, Brockton, MA 02301"
93,022041,2015-07-24,08:15:05,0,"North North West","Power Off",0.3,42.0681199,-71.0451668,"Brockton High","17,056.27",,32799,"Angus Beaton Dr, Brockton, MA 02301"
48,022062,2015-07-24,08:15:05,0,"North North West","Motion Stop",0.3,42.0679475,-71.0451123,"Brockton High","17,307.50",-2.24,42015,"Angus Beaton Dr, Brockton, MA 02301"
87,022027,2015-07-24,08:15:06,22.5,"South South East",Standard,0.2,42.0670734,-71.0456624,"Brockton High","17,217.94",4.47,40991,"Angus Beaton Dr, Brockton, MA 02301"
321,"MB033 - 051073",2015-07-24,08:15:12,25.5,"South West",Standard,0.8,42.4224317,-71.0419123,Massachusetts,0.00,-6.71,8223,"78 Lynn St, Everett, MA 02149"
